comments,Negative,Neutral,Positive
to samsung phonen,0.10519441217184067,0.7899487018585205,0.10485696792602539
thank gosh place watch without hd speed doesnt support hd,0.6004154086112976,0.36434897780418396,0.035235557705163956
what happened home button iphone x coughcopying samsungcough,0.3191746771335602,0.5962387323379517,0.08458653092384338
power disease care cure keep caring others best life,0.029776189476251602,0.25399839878082275,0.7162253856658936
keep calm buy iphone  keep calm buy iphone  plus keep calm buy iphone x favourite,0.007324608042836189,0.20703230798244476,0.7856430411338806
i big fan youtube u ,0.005652027670294046,0.13499067723751068,0.8593573570251465
you never find losers line pay good money crap line charity community work,0.5045321583747864,0.3679082989692688,0.12755952775478363
apple commented last video im crying right ,0.24574580788612366,0.48557987809181213,0.26867425441741943
im see emma love much im proud ,0.00197614380158484,0.018230004236102104,0.9797938466072083
mom said one video bed,0.12384667247533798,0.7714460492134094,0.10470729321241379
what song ,0.10772550106048584,0.7804840803146362,0.11179038137197495
i started crying  emmas ep showed im proud her,0.01175316795706749,0.07442061603069305,0.9138261675834656
 years late wireless charging  years late oled technology old facial recognition tech enhanced old ir tech late every frontwhat know lets lose makes product instantly recognizable apples windows  samsung bound loving this,0.10419099777936935,0.34393244981765747,0.5518766045570374
more one bed,0.10760683566331863,0.7214236259460449,0.17096954584121704
subscribe love mummy,0.03307356685400009,0.4132918119430542,0.5536345839500427
they really took samsung s named iphone x whatever,0.3452894985675812,0.5675687193870544,0.08714178204536438
so someone twin sibling unlock iphone x haha ,0.00839962251484394,0.4233160614967346,0.5682843327522278
for god sake better pspro,0.42936843633651733,0.3893480598926544,0.18128350377082825
mp cam kind standard ,0.15765896439552307,0.7538979053497314,0.08844311535358429
 waiting people clap,0.07691332697868347,0.6800639629364014,0.24302273988723755
sarahah leak system revealhaters,0.766944169998169,0.22600668668746948,0.007049172651022673
if apple sucks samsungs better like comment,0.6039655804634094,0.32099658250808716,0.075037881731987
this video long halfway got hungry left playing went kitchen fix self sandwich found im mayonnaise went store saw beautiful woman ever seen whole life im really shy person took threeyear personality development course introduce self friendly unfortunately boyfriend said good im mature person want best harbor illusion best person seems happy boyfriend bother anymore kept touch became friends got crush broke boyfriend drank alcohol told shell fine wished well still think shes beautiful woman world like said crush like five years already first saw besides quiet happy friendship developed important crush kept hanging drinking coffee girlfriend started dating guys girlfriend wants live life without said okay want best want pursue happiness lady friend drank alcohol gave advice gave position became okay breakup immediately really drunk spent night apartment one bed know means took bed slept couch couch really cant sleep something bothering tossed turned three hours finally cant take anymore stood went straight room shes sleeping approached bed gently sat reached shoulder pull closer stirred woke asked whats told know first time saw watching video left playing get self sandwich went store get mayo got distracted life forgot finish video said know ive wondering weird noise night drawer opened drawer lo behold theres phone video still two minutes play time it,0.09639811515808105,0.4979342222213745,0.40566766262054443
you kicks steve jobs company videos name it,0.15373949706554413,0.7964309453964233,0.049829524010419846
love need yeah love shiny new iphone,0.001865520142018795,0.01267319731414318,0.9854612946510315
the best thing ever happen iphone,0.0015304689295589924,0.007514131721109152,0.9909554123878479
how internet speed nvideos nnhttpsyoutubeplbrkgpq,0.1412603259086609,0.8035221099853516,0.05521751195192337
sub channel,0.1907050907611847,0.6616343855857849,0.1476605385541916
 song that,0.12147262692451477,0.6960204243659973,0.1825069636106491
aquele vdeo bem curtinho de  horas,0.14924152195453644,0.7183434367179871,0.13241495192050934
