comment,negative,neutral,positive
vcmibook reader,0.13800500333309174,0.7359550595283508,0.12603996694087982
use studies store pdfs use liquid text annotate take notes,0.04489969462156296,0.8615580201148987,0.09354233741760254
dont add regular hdmiin tablets theyd much attractive could use external display,0.06029707193374634,0.5702704191207886,0.3694325387477875
traders fireeee,0.019824033603072166,0.3847074806690216,0.5954684615135193
use consuming media,0.4277762472629547,0.5358695387840271,0.03635420650243759
use tablet anything want phone tiny screen also dont play games mobile devices use tablet playing music speakers better watching movies tv shows watching youtube remoting virtual server im outside house thing use phone direct communication listening podcasts,0.06359194964170456,0.49332594871520996,0.4430820941925049
music producer performer ive used ipads years midi controller ableton via osc really convenient make layouts kind necessity drum pads faders knobs easily switch,0.004674221388995647,0.22753925621509552,0.7677865028381348
forever hate ipads dont care better productivity majority time tablet watching modern movies tv shows dont want giant black bars taking screen edit got android part video even though oneplus tablet looks pretty close,0.585283637046814,0.32240647077560425,0.09230984002351761
ipad pro m new ipad ipad lumafusion pencil procreate raw lightroom,0.0061933076940476894,0.7038645148277283,0.2899422347545624
think tablets impressive many use cases like got xiaomi pad year ago use watching movies series anime play games got snapdragon read books paper feel modewatch youtube bigger better screen time dont need speakers earphones listen music speakers loud clear manage emails internet surfing browsing shopping battery backup good student study online ease good deal use phone calls whatsapp cameraor things left people saying thats true tablet comfortable use bed laptop,0.007064905948936939,0.11832218617200851,0.8746128678321838
bro u turned auto translate annoying let learn english dude would us starting hate greed,0.9607383608818054,0.03634815663099289,0.0029134859796613455
watching video writing comment samsung galaxy tab f fe official keyboard touchpad using tablet writing video scripts working excel sheets watching youtube reading books comics maybe something else sometimes dont need,0.1451393961906433,0.7169597148895264,0.13790088891983032
wel got honor magicpad specs euro,0.027739673852920532,0.8595542311668396,0.1127060279250145
use ipad mostly travel great media planes getting work done accommodation drawing time admittedly spends lot time nothing im home,0.015237306244671345,0.3303079605102539,0.6544547080993652
youre forgetting biggest market tablets marques thats students extremely convenient youre college student even high school,0.023027637973427773,0.23148958384990692,0.7454828023910522
reason tablet bc gaming,0.06068932265043259,0.7733584046363831,0.16595228016376495
youtube netflix prime video corn,0.10273053497076035,0.8281834721565247,0.06908604502677917
single use actually use procreate work maybe netflix travel,0.011820688843727112,0.7119066119194031,0.2762726843357086
use tablet read sheet music playing piano phone small computer suitable placing desktop tablet great solution case,0.0028702726121991873,0.12635299563407898,0.8707767724990845
use tablet trading im actually waiting beast launch india,0.013828613795340061,0.515480101108551,0.4706912636756897
im going buy tablet really simple one need run software use button box simulation driving games pc youtube videos nothing,0.02798154018819332,0.6052988767623901,0.3667195737361908
use tablet vehicles headunit stuck using inferior inbuilt garbage gimped carplay android auto software worst part tablet firefox tablets doesnt even keyboard shortcuts ctrl t ctrl r etc nothing works blows mind,0.9573625922203064,0.038233861327171326,0.004403566941618919
math teacher use tablet things school related mostly notes pull student textbooks personal notes freely adjust things fly show videos fantastic started school given ipad upgraded s ultra never look back find wondering earth laptop,0.04038417711853981,0.5062927603721619,0.45332300662994385
would use tablet frisbee,0.01729225553572178,0.8287674188613892,0.1539403200149536
use ipad mini multimedia carry around bag weights nothing also cheap laptop someone steals great inbetween device,0.1379985213279724,0.4097574055194855,0.4522441029548645
use gaming media house control,0.1556089222431183,0.8026204109191895,0.04177060350775719
airplane entertainment,0.15022742748260498,0.7426865100860596,0.10708601027727127
sounds silly want buy one use book university reading stuff,0.5463007688522339,0.388995498418808,0.06470376253128052
hi im watching video tablet want share usage two main uses tablet cant replace electronic device studying editing pdfs sketching pen traveling already take notebook work trips second notebook would bulky heavy personal equipment chose tablet one strong point regard quality tablets screen much superior equivalent notebook windows graphics card bothers point would give portability quality screen maybe uses kinda niche,0.06363414973020554,0.5771256685256958,0.3592401444911957
stat found old nintendo ds mine hasnt charged odd years turned,0.23256218433380127,0.6643971800804138,0.10304061323404312
ipads computer seniors,0.13312648236751556,0.7900189757347107,0.07685453444719315
would use make notes study playing games watching netflix youtube end think use take notes study said macbook air iphone everything could ever ask feel like impulse buy people buy ipad tablet,0.12879589200019836,0.7007196545600891,0.17048440873622894
like use trading stocks,0.13088937103748322,0.8078376650810242,0.06127293407917023
